"","GSM8393322","GSM8393323","GSM8393324","GSM8393325","GSM8393326","GSM8393327","GSM8393328","GSM8393329","GSM8393330","GSM8393331"
"ENSG00000290987",0,0,0,0,0,0,0,0,0,0
"ENSG00000290990",0.0337196,0.0848293,0,0.0390768,0,0.158318,0,0.0345737,0,0.0296808
"ENSG00000290991",0,0,0,0,0,0,0,0,0.0463277,0
"ENSG00000290993",4.65424,6.28651,3.14917,3.078796,2.730639,3.52591,2.80284,4.16256,3.496873,2.992061
"ENSG00000290994",7.02051,7.82954,8.7441,7.71162,8.3678,8.32337,5.42713,8.56153,7.14983,7.57975
"ENSG00000290997",3.083492,2.2257454,2.86861,2.78572,2.62146,2.215116,2.11076,2.485493,1.89012,2.68198108799
"ENSG00000290998",0,0,0,0,0,0,0,0.0784231,0,0
"ENSG00000290999",0.2057177,0.330647,0.384231,0.329679,0.0801193,0.1205202,0.0542514,0.1344484,0.0658972,0.2830137
"ENSG00000291000",0,0,0,0,0,0,0,0,0,0
"ENSG00000291001",0,0,0,0,0,0,0,0,0,0
"ENSG00000291002",0,0,0,0,0,0,0,0,0,0
"ENSG00000291003",35.52406,41.35473,35.32664,42.48878,36.8264,39.08283,43.31012,37.34974,37.94545,39.95145
"ENSG00000291006",0.966242,0.593728,0.796526,0.87095,0.979657,0.868555,0.474596,0.210314,0.541617,0
"ENSG00000291007",0.328179,0.300003,0.269327,0.309174,0.26767,0.438737,0.396655,0.364941,0.381563,0.358181
"ENSG00000291008",0.24206,0.328399,0.305617,0.266125,0.18906,0.220856,0.299934,0.225179,0.385623,0.24622
"ENSG00000291009",0,0,0,0,0,0,0,0,0.0574679,0
"ENSG00000291013",0,0.0421984,0.0317801,0,0.193752,0,0.0903894,0,0.0753596,0
"ENSG00000291015",2.326656,4.337239,3.033118,2.893323,2.664911,3.38896,2.433918,1.061384,2.2199687,2.647099
"ENSG00000291017",0,0,0,0,0,0,0,0,0,0
"ENSG00000291018",1.38926,1.94103,0.711092,1.50926,1.97387,0.998496,1.62329,1.46463,1.85251,0.7293
"ENSG00000291020",0,0,0,0,0.149089,0,0,0,0,0
"ENSG00000291021",0,0,0.123551,0.275314,0,0,0,0.152637,0,0
"ENSG00000291023",0.243082,0.296252,0,0,0,0,0,0,0.335766,0
"ENSG00000291024",0.612092,0.5064216,0.537589,0.5820959,0.653939,0.7286296,0.521826,0.4372936,0.5283732,0.4884741
"ENSG00000291029",0.734455,0.75731,0.524376,0.877635,0.693505,0.606151,0.716112,0.473285,0.553138,0.892587
"ENSG00000291030",0,0,0,0,0,0,0,0,0,0
"ENSG00000291032",5.47177,5.40194,4.47872,3.40398,4.85979,4.22707,5.5141,4.31097,6.17348,4.05759
"ENSG00000291034",0.3995983,0.6104764,0.408868,0.329724,0.416233,0.296507,0.2763021,0.548388,0.4153497,0.2971277
"ENSG00000291037",0,0,0,0,0,0,0,0,0.0588009,0
"ENSG00000291041",0.314694,0.0489331,0.0869679,0.213719,0.206066,0.266993,0.151981,0.122499,0.143325,0.16181
"ENSG00000291042",0,0,0,0,0,0,0,0,0,0
