"","mean","sd","max","min"
"TAF3",-0.248083418202037,0.181498183487628,0.317674093,-0.973492492
"TAF4",-0.297366462189304,0.206048625490477,0.240845569,-1.263477408
"TAF4B",-0.0349175189320883,0.102697211396578,0.341870236,-0.664367892
"TAF5",-0.71882714220034,0.242977940943968,0.074457752,-1.634535183
"TAF5L",-0.245021734839559,0.386114155767918,1.151641848,-1.458865939
"TAF6",-1.40665313511885,0.276222170800536,-0.19324418,-2.456165402
"TAF6L",-0.34699965273854,0.273958800306777,0.821699137,-1.619438028
"TAF7",-0.779240340401528,0.225766126205792,0.058587968,-1.769481981
"TAF7L",0.0382669027640068,0.139002672457663,0.712781505,-0.647288836
"TAF8",-0.905223779691851,0.311892596723217,0.523371342,-2.392683933
"TAF9",-0.134996021206282,0.116792409031899,0.312202163,-0.854156291
"TAF9B",0.0449652939380306,0.122361025183168,0.453136597,-0.601359591
"TAFA1",0.0526141980772496,0.100766266362733,0.493515475,-0.34307057
"TAFA2",0.0934184618293718,0.110445417850851,0.570285757,-0.475463863
"TAFA3",-0.135309753005093,0.129352199202731,0.582514861,-0.670143323
"TAFA4",0.0240014769830221,0.108659322859244,0.498939244,-0.420745961
"TAFA5",0.0864243067988116,0.110432986710884,0.520765898,-0.67444356
"TAFAZZIN",-0.3967530749618,0.336178661221418,0.347801214,-2.059320039
"TAGAP",0.0601685771451613,0.082359443262706,0.578097687,-0.280778677
"TAGLN",-0.032063370417657,0.145533810195763,0.527132756,-0.590357084
"TAGLN2",-0.162128163932088,0.123751935196958,0.36906257,-1.011950315
"TAGLN3",-0.0338195137147708,0.118375807049931,0.572962527,-0.455369618
"TAL1",-0.0748897183998302,0.100395314787564,0.355138082,-0.443710932
"TAL2",0.0195802928921902,0.109807493572803,0.416088431,-0.448683924
"TALDO1",-0.116212571575552,0.126845347812559,0.451384968,-1.249909135
"TAMALIN",-0.16773927358489,0.117181289295594,0.322403882,-0.818651724
"TAMM41",-0.655180409759762,0.418928349897356,0.589680416,-2.411688292
"TANC1",0.0604420229516129,0.114988471516795,0.476914659,-0.412144739
"TANC2",0.108767115614601,0.105998027991953,0.556444371,-0.317373567
"TANGO2",-0.152127322282683,0.105509422283684,0.300023303,-0.627552026
"TANGO6",-1.46656247281579,0.27819177764618,-0.199259795,-2.773575949
"TANK",-0.0401486867308998,0.137315328055628,0.533234891,-0.740141166
"TAOK1",0.0989143790033956,0.236573661262966,1.560987095,-0.697490503
"TAOK2",0.0179756552079796,0.136641568434962,0.646355546,-0.620418292
"TAOK3",-0.0466369331010187,0.133160451439655,0.391407745,-0.822434446
"TAP1",-0.0294633766086587,0.113458653305748,0.589734555,-0.544303574
"TAP2",0.0801939930619694,0.13440965547606,0.603851796,-0.485612843
"TAPBP",-0.158272314970289,0.104868360605615,0.218675408,-0.711784189
"TAPBPL",0.076859785885399,0.108439312559024,0.580507659,-0.310156887
"TAPT1",-0.19031559729202,0.220611348065814,0.327573294,-1.276194763
"TARBP1",-0.0405793690560272,0.135811854526654,0.565833204,-0.54096559
"TARBP2",-0.153225892306452,0.128756220773743,0.416586664,-0.631365879
"TARDBP",-0.911714575609508,0.305314306687502,0.20305554,-2.320604437
"TARM1",-0.0218466173548387,0.111092344528267,0.44456724,-0.660856986
"TARS1",-1.90214285590917,0.345800857215113,-0.718312247,-2.903099112
"TARS2",-0.477639151098472,0.297839200368636,0.320610207,-1.624946328
"TARS3",0.00349428188285229,0.0846271678206124,0.336567924,-0.364631504
"TAS1R1",-0.0355195898446519,0.101257794471589,0.309838242,-0.411826026
"TAS1R2",-0.0569594363760611,0.104475111188052,0.307951937,-0.533927168
"TAS1R3",-0.00657827193463497,0.129697273332739,0.402741701,-0.643641871
"TAS2R1",0.0828983052241087,0.0978482027238359,0.574816528,-0.383888262
"TAS2R10",0.0172255329032258,0.140887990484182,0.69408163,-0.560049178
"TAS2R13",0.0899232418455009,0.107925403475767,0.507443673,-0.360776073
"TAS2R14",0.0677461341290323,0.112560345807203,0.553184793,-0.422169291
"TAS2R16",0.13422811695416,0.0871019900460161,0.607530107,-0.154535551
"TAS2R19",0.0975503478310696,0.120266763686293,0.725614345,-0.355910657
"TAS2R20",0.176312929951613,0.115624400265826,0.859514478,-0.346387032
"TAS2R3",0.218616825888795,0.0938941899575065,0.569789747,-0.221971936
"TAS2R30",0.0574178329151104,0.107820813011377,0.557361411,-0.379594641
"TAS2R31",0.119742789855688,0.0914705307638779,0.5483209,-0.355296896
"TAS2R38",0.00398316186587436,0.0956949988030431,0.336254418,-0.412490184
"TAS2R39",-0.0334704387487267,0.0998279073837421,0.30908766,-0.724975652
"TAS2R4",0.0656830754227504,0.0967204775841089,0.498770036,-0.289058854
"TAS2R40",0.0473957201264856,0.104436288335911,0.505223777,-0.631489757
"TAS2R41",0.0422200597207131,0.0894615982425328,0.52261825,-0.408296949
"TAS2R42",0.238604271452462,0.126573771341723,0.691615178,-0.360547446
"TAS2R43",0.11124894556961,0.142341686405359,0.784152281,-0.508409789
"TAS2R46",-0.10884250182343,0.150870715027685,0.67650933,-0.735994623
"TAS2R5",-0.00518755156876061,0.0954539936721943,0.345735139,-0.632532652
