"","genes","diff_","t_","p_"
"153","BOP1",-0.0400287549999998,4.79434560062195,0.130720733681799
"154","BORA",-0.02525435,0.666518523837609,0.589709244069966
"155","BPTF",0.017113245,-10.211003003721,0.0142563261293869
"156","BRAF",0.0541477699999999,-1.93004763840527,0.200283912620953
"157","BRAP",0.0338317149999999,-3.40466549850291,0.181703429493003
"158","BRAT1",0.0800641,-3.36167461876046,0.138759076155017
"159","BRCA1",0.0362017299999999,-0.729422199444079,0.593762264977627
"160","BRCA2",0.084766,-1.13412678373909,0.460025861407771
"161","BRD2",0.0506602,-1.39120786119502,0.392290296900848
"162","BRD4",0.032094195,-1.2851413159792,0.405519902696081
"163","BRF1",0.0163433199999999,-0.343527659738134,0.7869578668456
"164","BRF2",0.03509283,-2.55909402122916,0.174617617924227
"165","BRIP1",0.00482852000000011,-0.100780099243202,0.929900190653696
"166","BRIX1",0.00441100500000002,-0.144365903836393,0.905505611509378
"167","BRK1",0.0765269500000001,-29.8247631734932,0.00730508498463183
"168","BRPF1",0.10183355,-1.08117397049783,0.43408048775464
"169","BTAF1",0.0490218849999999,-1.42233010122455,0.338628561466699
"170","BTF3",0.0531931750000001,-2.01702764784658,0.182106668018083
"171","BUB1B",0.0634244399999999,-0.970958132052086,0.476357226323682
"172","BUB3",0.00413794000000001,-0.122194878088362,0.922402117103336
"173","BUD13",0.0359312799999999,-0.515264211037654,0.696412611580766
"174","BUD23",-0.0871245049999999,0.952501974683067,0.474517553607475
"175","BUD31",-0.012054915,0.133822747951349,0.91268738067729
"176","BYSL",0.0518156049999999,-3.37364718160875,0.177722734458661
"177","C1D",0.089183745,-2.08320492723221,0.271384109824571
"178","C1QBP",0.060457665,-3.57314156036117,0.151796263981977
"179","C3orf38",-0.04364389,1.2082329192577,0.359281654758462
"180","CAB39",0.033410575,-1.25207158238225,0.33807192230945
"181","CACTIN",-0.000702450000000021,0.0115809232050064,0.992435986210171
"182","CAD",-0.0225011199999999,0.530732567875554,0.648792406374731
